"siteID","sampleID","dayOfYear","dateSet","dateSample","dateTimeSet","dateTimeSample","crew","gear","sampleGroup","effort","effortUnits","distanceShocked","useCPUE","useSampleMarkRecap","comments","metadataID","entryFile"
"AQ_wholeShoreline","AQ_wholeShoreline_20190625_1610_AN_Fishscapes.Angling.20180625",176,"2019-06-25","2019-06-25","6/25/2019 14:30:00","6/25/2019 16:10:00","JC,CI,ALK","AN","2019_fishscapes_survey",1.67,"angler_hours","0","yes","yes","windy and partly cloudy","Fishscapes.Angling.20180625","fishScapes2019_AQ_2019-06-25_1610.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190625_2110_AN_Fishscapes.Angling.20180625",176,"2019-06-25","2019-06-25","6/25/2019 16:36:00","6/25/2019 21:10:00","JC, DS, ALK","AN","2019_fishscapes_survey",3.4,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_AQ_2019-06-25_2110.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190707_0950_AN_Fishscapes.Angling.20180625",188,"2019-07-07","2019-07-07","7/7/2019 5:45:00","7/7/2019 9:50:00","AS, ALK, CD","AN","2019_fishscapes_survey",4.08,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_AQ_2019-07-07_0950.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190707_1230_AN_Fishscapes.Angling.20180625",188,"2019-07-07","2019-07-07","7/7/2019 10:30:00","7/7/2019 12:30:00","ALK, CD","AN","2019_fishscapes_survey",2,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_AQ_2019-07-07_1230.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190708_0950_AN_Fishscapes.Angling.20180625",189,"2019-07-08","2019-07-08","7/8/2019 6:05:00","7/8/2019 9:50:00","FF, AL, AT","AN","2019_fishscapes_survey",3.75,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_AQ_2019-07-08_0950.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190708_1304_AN_Fishscapes.Angling.20180625",189,"2019-07-08","2019-07-08","7/8/2019 11:10:00","7/8/2019 13:04:00","AMK, AL, FF","AN","2019_fishscapes_survey",1.9,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_AQ_2019-07-08_1304.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190730_2300_BE_FishscapesSurvey.1.5mile.20180607",211,"2019-07-30","2019-07-30","7/30/2019 22:35:00","7/30/2019 23:00:00","DS,MS,AL","BE","2019_fishscapes_survey",0.42,"electrofishing_hours","0.9","yes","yes","weedy electric only basin stopped bc we reached the channel we already shocked","FishscapesSurvey.1.5mile.20180607","fishScapes2019_AQ_2019-07-30_2300.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190730_2350_BE_FishscapesSurvey0.5mile.20180606",211,"2019-07-30","2019-07-30","7/30/2019 23:30:00","7/30/2019 23:50:00","DS, MS, AL","BE","2019_fishscapes_survey",0.33,"electrofishing_hours","0.5","yes","yes",NA,"FishscapesSurvey0.5mile.20180606","fishScapes2019_AQ_2019-07-30_2350.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190731_0120_BE_FishscapesSurvey1.5mile.20180607",212,"2019-07-31","2019-07-31","7/31/2019 0:25:00","7/31/2019 1:20:00","DS, MS, AL","BE","2019_fishscapes_survey",0.92,"electrofishing_hours","1.5","yes","yes","fish 58 length may not be right but does match datasheet","FishscapesSurvey1.5mile.20180607","fishScapes2019_AQ_2019-07-31_0120.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190731_0225_BE_FishscapesSurvey0.5mile.20180606",212,"2019-07-31","2019-07-31","7/31/2019 2:15:00","7/31/2019 2:25:00","DS, MS, AL","BE","2019_fishscapes_survey",0.17,"electrofishing_hours","0.25","yes","yes",NA,"FishscapesSurvey0.5mile.20180606","fishScapes2019_AQ_2019-07-31_0225.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190731_0330_BE_FishscapesSurvey.1.5mile.20180607",212,"2019-07-31","2019-07-31","7/31/2019 3:20:00","7/31/2019 3:30:00","DS,MS,AL","BE","2019_fishscapes_survey",0.17,"electrofishing_hours","0.26","yes","yes","Fog made us end could not see shore cold and loons","FishscapesSurvey.1.5mile.20180607","fishScapes2019_AQ_2019-07-31_0330.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190805_2220_BE_FishscapesSurvey.hotBassLap.20180607",217,"2019-08-05","2019-08-05","8/5/2019 21:40:00","8/5/2019 22:20:00","DS,MS,KW,CL","BE","2019_fishscapes_survey",0.67,"electrofishing_hours","1.28","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_AQ_2019-08-05_2220.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190805_2355_BE_FishscapesSurvey.hotBassLap.20180607",217,"2019-08-05","2019-08-05","8/5/2019 23:05:00","8/5/2019 23:55:00","MS,DS,CL,KW","BE","2019_fishscapes_survey",0.83,"electrofishing_hours","1.3","yes","yes","Danny wanted to immortalize Carson Kennerly Lambert and Kayla Elaine Wensing in the database because they were great","FishscapesSurvey.hotBassLap.20180607","fishScapes2019_AQ_2019-08-05_2355.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190806_0155_BE_FishscapesSurvey.hotBassLap.20180607",218,"2019-08-06","2019-08-06","8/6/2019 1:50:00","8/6/2019 1:55:00","DS,MS,CW,CL","BE","2019_fishscapes_survey",0.08,"electrofishing_hours","0.13","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_AQ_2019-08-06_0155.csv"
"AV_wholeShoreline","AV_wholeShoreline_20190723_2315_BE_FishscapesSurvey.0.5mile.20180606",204,"2019-07-23","2019-07-23","7/23/2019 23:00:00","7/23/2019 23:15:00","AL,FF,CD","BE","2019_fishscapes_survey",0.25,"electrofishing_hours","0.5","yes","yes",NA,"FishscapesSurvey.0.5mile.20180606","fishScapes2019_AV_2019-07-23_2315.csv"
"AV_wholeShoreline","AV_wholeShoreline_20190724_0005_BE_FishscapesSurvey.1.5mile.20180607",205,"2019-07-23","2019-07-24","7/23/2019 23:25:00","7/24/2019 0:05:00","AL,FF,CD","BE","2019_fishscapes_survey",0.67,"electrofishing_hours","1.5","yes","yes",NA,"FishscapesSurvey.1.5mile.20180607","fishScapes2019_AV_2019-07-24_0005.csv"
"AV_wholeShoreline","AV_wholeShoreline_20190724_0040_BE_FishscapesSurvey0.5mile.20180606",205,"2019-07-24","2019-07-24","7/24/2019 0:25:00","7/24/2019 0:40:00","AL, FF, CD","BE","2019_fishscapes_survey",0.25,"electrofishing_hours","0.5","yes","yes",NA,"FishscapesSurvey0.5mile.20180606","fishScapes2019_AV_2019-07-24_0040.csv"
"AV_wholeShoreline","AV_wholeShoreline_20190724_0140_BE_FishscapesSurvey.1.5mile.20180607",205,"2019-07-24","2019-07-24","7/24/2019 1:00:00","7/24/2019 1:40:00","AL, FF, CD","BE","2019_fishscapes_survey",0.67,"electrofishing_hours","1.59","yes","yes",NA,"FishscapesSurvey.1.5mile.20180607","fishScapes2019_AV_2019-07-24_0140.csv"
"AV_wholeShoreline","AV_wholeShoreline_20190724_0210_BE_FishscapesSurvey0.5mile.20180606",205,"2019-07-24","2019-07-24","7/24/2019 1:50:00","7/24/2019 2:10:00","AL, FF, CD","BE","2019_fishscapes_survey",0.33,"electrofishing_hours","0.5","yes","yes",NA,"FishscapesSurvey0.5mile.20180606","fishScapes2019_AV_2019-07-24_0210.csv"
"AV_wholeShoreline","AV_wholeShoreline_20190724_0240_BE_FishscapesSurvey.1.5mile.20180607",205,"2019-07-24","2019-07-24","7/24/2019 2:30:00","7/24/2019 2:40:00","AL, FF, CD","BE","2019_fishscapes_survey",0.17,"electrofishing_hours","0.42","yes","yes",NA,"FishscapesSurvey.1.5mile.20180607","fishScapes2019_AV_2019-07-24_0240.csv"
"BK_wholeShoreline","BK_wholeShoreline_20190716_0005_BE_FishscapesSurvey0.5mile.20180606",197,"2019-07-15","2019-07-16","7/15/2019 23:50:00","7/16/2019 0:05:00","AMK, FF, CD","BE","2019_fishscapes_survey",0.25,"electrofishing_hours","0.54","yes","yes",NA,"FishscapesSurvey0.5mile.20180606","fishScapes2019_BK_2019-07-16_0005.csv"
"BK_wholeShoreline","BK_wholeShoreline_20190716_0105_BE_FishscapesSurvey.1.5mile.20180607",197,"2019-07-16","2019-07-16","7/16/2019 0:05:00","7/16/2019 1:05:00","AMK, FF, CD","BE","2019_fishscapes_survey",1,"electrofishing_hours","2","yes","yes",NA,"FishscapesSurvey.1.5mile.20180607","fishScapes2019_BK_2019-07-16_0105.csv"
"BK_wholeShoreline","BK_wholeShoreline_20190716_0206_BE_FishscapesSurvey0.5mile.20180606",197,"2019-07-16","2019-07-16","7/16/2019 1:55:00","7/16/2019 2:06:00","AMK, FF, CD","BE","2019_fishscapes_survey",0.18,"electrofishing_hours","0.5","yes","yes",NA,"FishscapesSurvey0.5mile.20180606","fishScapes2019_BK_2019-07-16_0206.csv"
"BK_wholeShoreline","BK_wholeShoreline_20190716_0305_BE_FishscapesSurvey.1.5mile.20180607",197,"2019-07-16","2019-07-16","7/16/2019 2:25:00","7/16/2019 3:05:00","AMK, FF, CD","BE","2019_fishscapes_survey",0.67,"electrofishing_hours","1.5","yes","yes",NA,"FishscapesSurvey.1.5mile.20180607","fishScapes2019_BK_2019-07-16_0305.csv"
"BK_wholeShoreline","BK_wholeShoreline_20190725_1110_AN_Fishscapes.Angling.20180605",206,"2019-07-25","2019-07-25","7/25/2019 7:10:00","7/25/2019 11:10:00","AT,DS,MS","AN","2019_fishscapes_survey",4,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180605","fishScapes2019_BK_2019-07-25_1110.csv"
"BK_wholeShoreline","BK_wholeShoreline_20190725_1730_AN_Fishscapes.Angling.20180625",206,"2019-07-25","2019-07-25","7/25/2019 16:10:00","7/25/2019 17:30:00","AT,DS,MS","AN","2019_fishscapes_survey",1.17,"angler_hours","0","yes","yes","Windy and stopped because of broken trolling motor plus break for travel from 1655 to 1705","Fishscapes.Angling.20180625","fishScapes2019_BK_2019-07-25_1730.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190530_1453_AN_Fishscapes.Angling.20180625",150,"2019-05-30","2019-05-30","5/30/2019 14:02:00","5/30/2019 14:53:00","MS","AN","2019_fishscapes_survey",0.85,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-05-30_1453.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190530_1538_AN_Fishscapes.Angling.20180625",150,"2019-05-30","2019-05-30","5/30/2019 14:02:00","5/30/2019 15:38:00","AMK","AN","2019_fishscapes_survey",1.6,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-05-30_1538.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190530_1608_AN_Fishscapes.Angling.20180625",150,"2019-05-30","2019-05-30","5/30/2019 14:02:00","5/30/2019 16:08:00","FF","AN","2019_fishscapes_survey",2.1,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-05-30_1608.csv"
