"lakeID","species","nEvents","nHat","nHatLow","nHatHigh"
"HT","largemouth_bass","8","583","408.1","941.769230769231"
"BY","largemouth_bass","11","867.733333333333","634.926829268293","1301.6"
"DY","largemouth_bass","7","2415","1207.5","9660"
"SE","largemouth_bass","4","1122.6","561.3","5613"
"SV","largemouth_bass","7","352.7","207.470588235294","881.75"
"UG","largemouth_bass","13","2408.80952380952","1686.16666666667","3891.15384615385"
"WB","largemouth_bass","5","815.222222222222","489.133333333333","1834.25"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
